Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Has?lat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Pinokyo: Sihirli Yolculuk,Pinokkio. Pravdivaya istoriya,"Animasyon, Aile",Vasiliy Rovenskiy,02/10/2023,8657,585244,"Roman Borisevich, Maxim Rogalsky, Vasiliy Rovenskiy.","Jon Heder, Tom Kenny, Pauly Shore",3.6,2,"Macaristan, Rusya"
Fabelmanlar,The Fabelmans,Dram,Steven Spielberg,01/06/2023,7625,633839,"Steven Spielberg, Tony Kushner, Kristie Macosko Krieger","Michelle Williams, Paul Dano, Seth Rogen",7.6,4,ABD
Evlad-? Cin,,Korku,Suat Ergin,01/06/2023,6385,349814,Himer Reklam,"Berna Gülen, Serhat ?entürk, Yavuz Gürbüz",2.6,3,Türkiye
Korsaj,Corsage,"Dram, Tarihi, Biyografi",Marie Kreutzer,01/20/2023,3869,233479,"Alexander Glehr, Johanna Scherz","Vicky Krieps, Colin Morgan, Florian Teichtmeister",6.7,5,"Almanya, Avusturya, Fransa, Lüksemburg"
A?,EO,Dram,Jerzy Skolimowski,01/13/2023,3308,209257,"Jerzy Skolimowski, Ewa Piaskowska","Sandra Drzymalska, Isabelle Huppert, Lorenzo Zurzolo",6.8,5,"?talya, Polonya"
Maskeli Balo,Mascarade,"Komedi, Dram, Suç",Nicolas Bedos,01/27/2023,2150,137763,"François Kraus, Denis Pineau-Valencienne, Sylvain Monod","Pierre Niney, Isabelle Adjani, François Cluzet",6.8,3,Fransa
Metronom,,Dram,Alexandru Belc,01/06/2023,1952,105778,"Emmanuel Quillet, Martine Vidalenc, C?t?lin Mitulescu","Mara Bugarin, Serban Lazarovici, Vlad Ivanov",6.7,3,"Fransa, Romanya"
Cennetten Gelen Çocuk,"Walad Min Al Janna, Boy From Heaven","Gerilim, Dram",Tarik Saleh,02/03/2023,1935,120929,"Kristina Åberg, Fredrik Zander","Tawfeek Barhom, Fares Fares, Mohammad Bakri",7.2,3,"Danimarka, Finlandiya, Fransa, ?sveç"
Uçsuz Bucaks?z,L'Immensita,Dram,Emanuele Crialese,02/17/2023,963,69006,"Dimitri Rassam, Mario Gianani, Lorenzo Gangarossa","Penélope Cruz, Vincenzo Amato, Alvia Reale",6.3,1,"Fransa, ?talya"
?frit-i Cin,,Korku,Ertu?rul Yüreklikul,01/27/2023,1334,86532,Makinist Film,"Burak Ergün, Canan Çal??kan, Ertu?rul Yüreklikul",2.2,1,Türkiye
?eker K?z ve Arkada?lar? Macera Adas?nda,Tarsilinha,"Macera, Komedi, Animasyon","Kiko Mistrorigo, Celia Catunda",12/30/2022,1898,103937,Ricardo Rozzino,"Özge Çeçen, Ahmet Teke?, Burçin Artut",7.8,3,Brezilya
Orman,,Korku,Mohsen Rabiei,12/30/2022,1869,101575,Sos Medya,"Beyza Nur Önispir, Selda Yeliz Nar, Gizem Çelebi",7.1,3,Türkiye
Dikkat Köpek Var,,"Komedi, Aile","Ece ??bilen Da?, Deniz Cem Da?",12/30/2022,2769,155443,Nussi Production,"Nusret Toplar, Mutlu Güney, Güney K?l?nç",6.7,1,Türkiye
Ali Çevlik,,Dram,Mahmut Baldemir,12/30/2022,9387,281714,Beyrut Yap?m,"Erkan Bekta?, Sefa Zengin, ?evki Altunbuken",5,5,Türkiye
Hayalimdeki Dü?ün,Shotgun Wedding,"Komedi, A?k, Aksiyon",Jason Moore,12/30/2022,17084,1327834,"Jennifer Lopez, Todd Lieberman","Jennifer Lopez, Josh Duhamel, Lenny Kravitz",5.4,2,ABD
Lanetli Göl,Monstrous,"Korku, Gerilim, Gizem",Chris Sivertson,12/30/2022,30721,1973766,"Robert Yocum, B.I. Rosen, Johnny Remo, Sasha Yelaun","Christina Ricci, Santino Barnard, Don Durrell",4.6,4,ABD
Çakallarla Dans 6,,"Komedi, Aksiyon",Murat ?eker,12/02/2022,"
862.380",50504213,"SugarWorkz, TAFF","?evket Çoruh, ?lker Ayr?k, Timur Acar",6.9,10,Türkiye
Bergen,,"Dram, Biyografi","Mehmet Binay, M. Caner Alper",03/04/2022,5484798,160057802,Orchestra Content,"Farah Zeynep Abdullah, Erdal Be?ikçio?lu, Tilbe Saran",6.9,28,Türkiye
Kesi?me - ?yi ki Vars?n Eren,,"Dram, Biyografi",Özer Feyzio?lu,01/01/2022,2328090,53335686,"Dijital Sanatlar, TRT","?smail Hac?o?lu, Rahman Be?el, Alayça Öztürk Gidi?o?lu",7.3,43,Türkiye
Doktor Strange C?oklu Evren C??lg?nl?g??nda,Doctor Strange in the Multiverse of Madness,"Macera, Fantastik, Aksiyon, 3 Boyutlu, IMAX",Sam Raimi,05/06/2022,1563041,59457089,Marvel Studios,"Benedict Cumberbatch, Elizabeth Olsen, Rachel McAdams",6.9,17,ABD
Avatar: Suyun Yolu,"Avatar: The Way of Water
","Macera, Fantastik, Aksiyon, 3 Boyutlu, IMAX",James Cameron,12/16/2022,2608695,182608911,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver",7.8,8,ABD
