Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Has?lat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Araf 2,,Korku,Biray Dalk?ran,01/04/2019,108451,1422922,DFGS,"Emre K?z?l?rmak, Cevahir Turan, Kaan Songün",2.8,10,Türkiye
Asfalt?n Krallar?,Le Mans '66,"Dram, Biyografi, Aksiyon",James Mangold,11/15/2019,106680,2408864,"James Mangold,Lucas Foster,Kevin Halloran","Christian Bale, Matt Damon, Caitriona Balfe",8.1,7,"ABD, Fransa"
Anna,,"Gerilim, Aksiyon",Luc Besson,06/20/2019,105611,1782585,"James Wan,Peter Safran","Sasha Luss, Helen Mirren, Luke Evans",6.6,7,Fransa
?kizler Projesi,Gemini Man,"Bilim-Kurgu, Dram, Aksiyon, 3 Boyutlu",Ang Lee,10/11/2019,104855,2016616,"Will Smith,Jerry Bruckheimer,David Ellison","Will Smith, Mary Elizabeth Winstead, Clive Owen",5.7,4,ABD
Creed II: Efsane Yükseliyor,Creed II,"Dram, Spor, Aksiyon",Steven Caple Jr.,01/11/2019,104513,1585402,"Sylvester Stallone,Ian Sharples,Charles Winkler","Michael B. Jordan, Sylvester Stallone, Tessa Thompson",7.1,5,ABD
Terminatör: Kara Kader,Terminator: Dark Fate,"Macera, Bilim-Kurgu, Aksiyon",Tim Miller,11/01/2019,104175,2170891,"James Cameron,David Ellison","Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis",6.2,5,"ABD, Çin"
Deli ve Dahi,The Professor and the Madman,"Dram, Biyografi, Gizem",Farhad Safinia,03/29/2019,103731,1939622,"Mel Gibson,Bruce Davey,Gastón Pavlovich","Steve Coogan, Mel Gibson, Sean Penn",7.2,12,?rlanda
Ölümcül Sular,Crawl,Korku,Alexandre Aja,07/12/2019,103575,1828617,"Alexandre Aja,Robert Tapert,Sam Raimi","Kaya Scodelario, Barry Pepper, Ross Anderson",6.1,5,ABD
Asl? Gibidir,,Komedi,Ali Yorganc?o?lu,01/25/2019,102517,1360024,Hann Yap?m,"Asl? ?nand?k, Toygan Avano?lu, Ahmet Olgun Sünear",4.4,4,Türkiye
Hareket Sekiz,,"Komedi, Aksiyon",Ali Yorganc?o?lu,10/04/2019,100551,1573654,Dada Vision,"Ali Sunal, Onur Atilla, Devrim Yakut",4.6,7,Türkiye
Parazit,Parasite,"Gerilim, Komedi, Dram",Bong Joon-ho,11/01/2019,428752,6833458,"Jang Young Hwan,Bong Joon Ho","Kang-ho Song, Yeo-jeong Jo, Woo-sik Choi",8.5,33,Güney Kore
Lanetli Gözya?lar?,The Curse of La Llorona,"Korku, Gerilim, Gizem",Michael Chaves,04/19/2019,97160,1598089,"James Wan,Gary Dauberman,Emile Gladstone","Linda Cardellini, Patricia Velasquez, Madeleine McGraw",5.2,5,ABD
Ay? Karde?ler: Zamanda Yolculuk,Boonie Bears: Blast Into The Past,Animasyon,Leon Ding,11/15/2019,100942,1592313,Huang Ziyan,"Chris Boike,Joseph S. Lambert,Siobhan Lumsden",5.4,21,Çin
Sir-Ayet,,Korku,Onur Aldo?an,02/08/2019,89994,1357434,Enis Özkan Film,"Demet Oran, Aydan Akbo?a, Sinan Ta?kan",2.8,9,Türkiye
After,,"A?k, Dram",Jenny Gage,04/12/2019,87377,1436802,"Anna Todd,Courtney Solomon,Mark Canton","Selma Blair, Hero Fiennes Tiffin, Peter Gallagher",5.2,7,ABD
Corgi,The Queen's Corgi,"Animasyon, 3 Boyutlu","Ben Stassen, Vincent Kesteloot",04/26/2019,87329,1365703,Ben Stassen," Jo Wyatt, Leo Barakat, Rusty Shackleford",4.8,13,Belçika
Dora ve Kay?p Alt?n ?ehri,Dora and the Lost City Of Gold,"Macera, Aile, Aksiyon",James Bobin,08/09/2019,85387,1401637,Kristin Burr,"Isabela Merced, Michael Pena, Eva Longoria",6.1,7,"ABD, Avustralya"
Biz,Us,"Korku, Gerilim",Jordan Peele,03/22/2019,83957,1475973,"Jordan Peele,Jason Blum,Jason Blum","Lupita Nyong'o, Winston Duke, Elisabeth Moss",6.8,15,ABD
Kadavra,The Possession of Hannah Grace,"Korku, Gizem",Diederik Van Rooijen,03/15/2019,80876,1367644,"Sean Robins,Sean Robins","Shay Mitchell, Grey Damon, Kirby Johnson",5.2,4,ABD
Kaç?? Plan? 3,Escape Plan: The Extractors,"Gerilim, Aksiyon",John Herzfeld,07/12/2019,80065,1271093,"Mark Canton,Robbie Brenner,Zack Schiller","Sylvester Stallone, Dave Bautista, 50 Cent",4.4,5,ABD
Uçan Hal? ve Kay?p Elmas,"Up and Away, Hodja fra Pjort","Animasyon, Aile",Karsten Kiilerich,01/18/2019,83086,995103,"Kim Magnusson,Anders Mastrup,Tivi Magnusson"," Thure Lindhardt, Özlem Saglanmak, Birgitte Raaberg",5.4,53,Danimarka
Kartopu Sava?lar? 2,Snowtime! 2,Animasyon,Benoit Godbou,03/08/2019,73330,1012080,Marie-Claude Beauchamp," Céline Ronte, Thomas Sagols",5.5,15,Kanada
Replikalar,Replicas,"Bilim-Kurgu, Suç, Gizem",Jeffrey Nachmanoff,01/11/2019,72407,1067415,"Keanu Reeves,Stephen Hamel,Lorenzo di Bonaventura","Keanu Reeves, Alice Eve, John Ortiz",5.4,6,"ABD, Birle?ik Krall?k, Çin, Porto Riko"
Yalan Dolan,,Komedi,Michael ?ahin Derun,03/01/2019,71474,1097779,Eser Yap?m,"?afak Sezer, Çetin Altay, Burcu Binici",4.5,5,Türkiye
Asteriks: Sihirli ?ksirin S?rr?,Astérix: Le secret de la potion magique,Animasyon,"Alexandre Astier, Louis Clichy",02/15/2019,68847,1039313,Natalie Altmann,"Bernard Alane, Christian Clavier, Guillaume Briat",6.7,16,Fransa
Natalie Altmann,,"Komedi, Aile",Mustafa Kotan,08/09/2019,68415,641231,Hann Yap?m,"Emir Özyak???r, Ayça Erturan, Ferit Aktu?",3.9,18,Türkiye
Kod Ad?: Angel,Angel Has Fallen,"Gerilim, Dram, Aksiyon",Ric Roman Waugh,08/23/2019,62722,1200847," Gerard Butler, John Thompson, Alan Siegel","Gerard Butler, Morgan Freeman, Piper Perabo",6.4,8,ABD
Kuzular Kurtlara Kar?? 2,"Volki i ovtsy. Khod sviney, Sheep and Wolves 2","Animasyon, 3 Boyutlu",Vladimir Nikolaev,03/22/2019,61034,955761," Vladimir Nikolaev, Yuriy Moskvin, Sergey Selyanov"," Alexander Petrov (II), Sergey Bezrukov, Elizaveta Boyarskaya",5.1,12,Rusya
Van Gogh: Sonsuzlu?un Kap?s?nda,At Eternity's Gate,"Dram, Biyografi",Julian Schnabel, 15 ?ubat 2019,60910,859530,"Jon Kilik, Charles-Marie Anthonioz","Willem Dafoe, Rupert Friend, Oscar Isaac",6.9,23,"ABD, Birle?ik Krall?k, Fransa, ?rlanda, ?sviçre"
BTS World Tour: Love Yourself in Seoul,,"Belgesel, Konser, Müzik",Son Sung-deuk,01/26/2019,60437,1090893,Big Hit Entertainment,"BTS, J-Hope, Jeong-guk Jeon",9.0,3,Güney Kore
Alem-i Cin 2,,"Korku, Gerilim",Özgür Bakar, 3 May?s 2019,"
58.750",901583,Film Fabrikas?,"Ali Kaan Serez, Bekir Behrem, Sava? Barutçu",3.9,4,Türkiye
Cinnet,,Korku,Aytekin Birkon,06/14/2019,57537,848886,TAFF,"Yeliz Akkaya, Emre Ba?er, Nicholas Facey",3.3,5,Türkiye
?uursuz A?k,,Dram,Umut Ertek, 27 Aral?k 2019,"
76.251",1374752,?eddadi Yap?m,"?smail Hac?o?lu, Ebru ?ahin, Burcu Kara",6,7,Türkiye
Rambo: Son Kan,Rambo: Last Blood,"Macera, Aksiyon",Adrian Grunberg,09/20/2019,54244,937918," Kevin King Templeton, Avi Lerner, Yariv Lerner","Sylvester Stallone, Paz Vega, Yvette Monreal",6.1,4,ABD
Efsunlu - Kabirden Gelen,,Korku,U?ur Kaplan,07/05/2019,54044,804314,Enis Özkan Film,"Sedef ?ahin, Reyhan ?lhan, Elif Kartal",3.5,6,Türkiye
Doktor Uyku,Doctor Sleep,"Korku, Gerilim",Mike Flanagan,11/22/2019,50452,944551,"Stephen King, Trevor Macy, Jon Berg","Ewan McGregor, Rebecca Ferguson, Kyliegh Curran",7.3,4,ABD
Cin Azab?,,Korku,Onur Aldo?an,09/13/2019,49400,741512,"Cinemoon Film, CNS","Aydan Akbo?a, Yal?n Cengiz, Nalan Olcayalp",2.4,7,Türkiye
Rambo: Son Kan,Rambo: Last Blood,"Macera, Aksiyon",Adrian Grunberg,09/20/2019,54244,937918,"Kevin King Templeton, Avi Lerner, Yariv Lerner,","Sylvester Stallone, Paz Vega, Yvette Monreal",6.1,4,ABD
Sesinde A?k Var,,"Gençlik, Romantik",Osman Ta?ç?,08/16/2019,48855,735834,Limon Film,"Burak Tozkoparan, Hayal Köseo?lu, Gizem Güne?",4.5,5,Türkiye
Luis ve Uzayl? Dostlar?,Luis and the Aliens,Luis and the Aliens,"Christoph Lauenstein, Wolfgang Lauenstein",08/02/2019,"
53.623",806568," Emely Christians, Christine Parisse, Anders Mastrup","Callum Maloney, Dermot Magennis, Ian Coppinger",6,25,"Almanya, Danimarka, Lüksemburg"
Saray?n Gözdesi,The Favourite,Dram,Yorgos Lanthimos,02/08/2019,47732,863699,"Yorgos Lantimos, Ed Guiney, Ceci Dempsey,","Olivia Colman, Rachel Weisz, Emma Stone",7.5,7,"ABD, Birle?ik Krall?k, ?rlanda"
Kulyas: Lanetin Bedeli,,Korku,Yunus ?evik,05/10/2019,46200,659328,Dras Film Pictures,"Halil Kumova, Kübra K?l?nçkaya, Nurdan Paksoy",3.4,10,Türkiye
Acemi Ka?ifler: Görevimiz Kocaayak,Mission Kathmandu: The Adventures of Nelly & Simon,"Macera, Komedi, Animasyon","Pierre Greco, Nancy Florence Savard",05/24/2019,44891,610634," Nancy Florence Savard, Geneviève Savard"," Nancy Florence Savard, Geneviève Savard",5.1,13,Kanada
Midway,,"Dram, Sava?, Aksiyon",Roland Emmerich, 29 Kas?m 2019,44544,903983,"Roland Emmerich, Harald Kloser","Ed Skrein, Patrick Wilson, Luke Evans",6.7,6,"ABD, Çin"
Bring The Soul: The Movie,,"Belgesel, Müzik",Park Jun-Soo, 7 A?ustos 2019,42476,733421,Hybe Corporation,"RM, Jin, Suga",8.4,3,Güney Kore
Kefernahum,Capharnaüm,Dram,Nadine Labaki,01/25/2019,41399,503926,"Khaled Mouzanar, Michel Merkt","Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",8.4,30,"ABD, Lübnan"
Ritüel,Midsommar,"Korku, Dram, Gizem",Ari Aster,07/26/2019,40832,747347,Patrik Andersson; Lars Knudsen,"Florence Pugh, Will Poulter, Jack Reynor",7.1,15,ABD
Kap?,,Dram,Nihat Durak,04/12/2019,41328,631778,"TAFF, Durak Film","Kadir ?nan?r, Vahide Perçin, Timur Acar",6.9,5,Türkiye
Araf 3: Cinler Kitab?,,Korku,Biray Dalk?ran,11/01/2019,39036,627118,DFGS,"Mehmet Ba?türk, Ça?la Erdimen, Emre Özmen",4.8,12,Türkiye
Sevimli Ejderha Kokonat: Ormanda ?enlik,Coconut The Little Dragon: Into The Jungle,Animasyon,Anthony Power,03/29/2019,38111,441648,"Gabriele M. Walther, Marcus Hamann","Carolin Kebekus, Dustin Semme Irogge, Maxvon Der Groeben",5.6,28,Almanya
Düzenbazlar,The Hustle,Komedi,Chris Addison,05/31/2019,36882,722858,"Rebel Wilson, Roger Birnbaum","Anne Hathaway, Rebel Wilson, Tim Blake Nelson",5.4,6,ABD
Hüddam 2,,Korku,Utku Uçar,03/08/2019,36706,548612,Hayal Sanat,"Ebrar Kurt, Bülent Kaya, Hakan Erkuran",4.9,5,Türkiye
Süper Ay?,Super Bear,Animasyon,Wang Qi,01/04/2019,36656,420741,Song Xianwei,"Jeff Dunham, Marcus Shor, Morena Cleese",4,24,Çin
Ali,,Dram,Ramazan Özer,03/22/2019,36401,534186,Efektif Sanat,"Gürbey ?leri, Hakan Meriçliler, Semra Dinçer",4.3,3,Türkiye
Tabaluga,Tabaluga,"Animasyon, 3 Boyutlu",Sven Unterwaldt Jr.,03/01/2019,35433,487497,"Helge Sasse, Solveig Fina"," Michael Herbig, Yvonne Catterfeld, Heinz Hoenig",5.2,20,Almanya
Abigail: S?n?rlar?n Ötesinde,Abigail,"Macera, Fantastik, Aksiyon",Aleksandr Boguslavskiy,08/30/2019,34820,560968,Evgeniy Melentev.,"Tinatin Dalakishvili, Eddie Marsan, Rinal Mukhametov",4.8,3,"ABD, Rusya"
Astral Seyahat,,Korku,Hasan Gökalp,05/31/2019,34603,540393,"Dada Vision, ?gamedya Yay?nc?l?k","Pervin Abiyeva, Bü?ra Acar, Ça?da? Tekelio?lu",,6,Türkiye
Geçmi? Olsun,,Komedi,Hasan Do?an,06/28/2019,34134,527356,Juli Sanat,"Toygan Avano?lu, Cihan ?im?ek, Müge Boz",,4,Türkiye
Sir-Ayet 2,,Korku,Kayhan Ba?o?lu,09/27/2019,33501,537305,Enis Özkan Film,"Üzeyir Ulus, Mehmet Aras, Arzu Suriçi Kireççi",,5,Türkiye
Kuyu,The Hole in the Ground,Korku,Lee Cronin,06/14/2019,33051,480208,"John Keville, Conor Barry","Seána Kerslake, James Quinn Markey, Simone Kirby",5.6,3,?rlanda
Sihirli Oyuncaklar,Toys & Pets,"Macera, Animasyon",Gary Wang,05/10/2019,32940,475410,"Zhou Yu, Ye Yuan","Shi Lei, Yuan Zeyu, Guanlin Ji",5.6,9,Çin
New York'ta Ya?murlu Bir Gün,A Rainy Day in New York,Komedi,Woody Allen,08/30/2019,32707,706152,"Letty Aronson ,","Timothée Chalamet, Elle Fanning, Selena Gomez",6.5,8,ABD
Sibel,,Dram,"Guillaume Giovanetti, Ça?la Zencirci",02/22/2019,33725,410163,Mars Production,"Damla Sönmez, Erkan Kolçak Köstendil, Emin Gürsoy",6.8,26,"Türkiye, Almanya, Fransa, Lüksemburg"
K?z Karde?ler,,Dram,Emin Alper,09/13/2019,32202,566692,"NuLook, Liman Film","Cemre Ebuzziya, Ece Yüksel, Helin Kandemir",7.5,7,"Türkiye, Almanya, Hollanda, Yunanistan"
Alev Alm?? Bir Genç K?z?n Portresi,Portrait Of A Lady On Fire,"Dram, Tarihi, Romantik",Céline Sciamma,12/06/2019,43049,717319,Bénédicte Couvreur,"Noémie Merlant, Adèle Haenel, Luàna Bajrami",8.1,26,Fransa
Herkes Biliyor,Everybody Knows,"Gerilim, Dram, Gizem",Asghar Farhadi,03/08/2019,31593,383532,"Alexandre Mallet-Guy, Alvaro Longoria","Penélope Cruz, Javier Bardem, Ricardo Darín",6.9,17,"Fransa, ?spanya, ?talya"
Astronot Willy: Macera Gezegeni,Terra Willy: Planète inconnue,"Macera, Komedi, Animasyon",Eric Tosti,07/12/2019,31208,493055,"Jean-François Tosti, Frédéric Fiore","Timothé Vom Dorp, Edouard Baer, Barbara Tissier",6.6,13,Fransa
Kediler,Cats and Peachtopia,Animasyon,Gary Wang,08/30/2019,32612,480313,"Zhou Yu, Ye Yuan","Dermot Mulroney, Brittany Curran",4.8,22,Çin
Ecinni: T?ls?ml? Mezar,,Korku,Mehmet Sa?lam,07/19/2019,27891,409934,Sa?lam Film,"Önem Pi?kin, Berkay Berkman, Elis Bü?ra K?l?ç",2.3,5,Türkiye
H?zl? ve Tüylü,Manou the Swift,Animasyon,"Christian Haas, Andrea Block",09/20/2019,35955,514085," Christian Haas, Andrea Block, Michael Roesch"," Cassandra Steen, Josh Keaton, Willem Dafoe",5.4,46,Almanya
E?ek Kral,The Donkey King,"Komedi, Animasyon, Aile",Aziz Jindani,12/20/2019,33237,523147,Ghazi Ali,"Shafaat Ali, Vasay Chaudhry, Hina Dilpazir",6.1,18,Pakistan
Skandal,Bombshell,"Dram, Biyografi",Jay Roach,12/20/2019,30617,820194," Charlize Theron, Jay Roach, Charles Randolph","Margot Robbie, Charlize Theron, Nicole Kidman",6.8,7,"ABD, Kanada"
Kahraman Bal?k,Go Fish,"Macera, Animasyon",Sean Patrick O'Reilly,12/06/2019,27787,494173,"Guinevere Turner, Rose Troche"," Justine Ezarik, Mark Hamill, Ron Perlman",4.6,14,ABD
Ak?llara Seza,,Romantik-Komedi,Serdal Genç,07/19/2019,25187,359790,2506,"?nan Ula? Torun, Haldun Boysan, Asl?han Güner",6.4,4,Türkiye
Ac? ve Zafer,Pain & Glory,Dram,Pedro Almodóvar,10/11/2019,26576,538543," Agustín Almodóvar, Esther García, Ignacio Salazar-Simpson","Antonio Banderas, Penélope Cruz, Cecilia Roth",7.5,19,?spanya
Korku Hikayeleri,Scary Stories to Tell in the Dark,Korku,André Øvredal,08/23/2019,25165,452056," Guillermo del Toro, Jason F. Brown, Sean Daniel","Zoe Margaret Colletti, Michael Garza, Gabriel Rush",6.2,4,"ABD, Kanada"
Kar??ma Bende,,Komedi,Kamil Çetin,10/18/2019,24881,428351,"ILS Vision, TN Yap?m","Sefa K?nd?r, Mami Emen, Sinan Poyraz",1.2,4,Türkiye
Yesterday,Yesterday,"Komedi, Fantastik, Müzik",Danny Boyle,06/28/2019,24527,467088, George Martin,"Himesh Patel, Lily James, Ed Sheeran",6.8,8,Birle?ik Krall?k
Uglydolls,Uglydolls,Animasyon,Kelly Asbury,05/17/2019,24130,383345," Vivian WANG, Robert Rodriguez, Jane Hartwell","Kelly Clarkson, Pitbull, Lee-Hom Wang",5.1,6,ABD
Kapan,,"Dram, Aksiyon",Kudret Sabanc?,03/08/2019,23706,349126,Nehir Yap?m,"Erkan Petekkaya, Kemal Uçar, Öykü Çelik",5.1,3,Türkiye
Olacak ?? De?il,The Upside,"Komedi, Dram",Neil Burger,01/25/2019,23656,379909," Jason Blumenthal, Todd Black, Steve Tisch","Bryan Cranston, Kevin Hart, Nicole Kidman",7,9,ABD
Ma,Ma,"Korku, Gerilim",Tate Taylor,05/31/2019,22854,394174,"Jason Blum, John Norris, Tate Taylor","Octavia Spencer, Diana Silvers, Luke Evans",5.6,3,ABD
A?gar: Cin Vadisi,,Korku,Yahya Al,04/12/2019,22729,316301,"B Kare Film, NKB Yap?m","Hayrettin Batur, Cemre Aky?ld?z, Bu?ra Ka?an Kahraman",4.1,5,Türkiye
?eytan-i ?ns,,Korku,Gökhan Ar?,03/22/2019,22627,347963,Suare Film,"Emre Özmen, Derya Çavu?o?lu, Bertan Dirikolu",3.4,4,Türkiye
Jumbo,Jumbo,Animasyon,James Snider,03/29/2019,22274,321215,"Pascaline Saillant, Gilles Chanial, Anaïs Bertrand","Maria Petrano, Thomas Carr",3.1,5,ABD
Hello Kitty,Hello Kitty,Animasyon,Tony Oliver,04/19/2019,21995,367365,Beau Flynn,"Sarah Anne Williams, Lindsay Sheppard, Nicholas Andrew Louie",8.9,3,Japonya
Rocketman,Rocketman,"Dram, Biyografi, Müzik",Dexter Fletcher,06/14/2019,21899,360588,"Elton John, Adam Bohling, David Reid","Taron Egerton, Bryce Dallas Howard, Jamie Bell",7.3,8,Birle?ik Krall?k
Merhaba Güzel Vatan?m,,Dram,Cengiz Özkarabekir,11/01/2019,21829,419475,Bat? ?stanbul Vakf?,"Yetkin Dikinciler, Serkan Alt?nta?, Berna Laçin",5,4,Türkiye
So?uk ?ntikam,Cold Pursuit,"Gerilim, Dram, Aksiyon",Hans Petter Moland,03/22/2019,20886,379137," Michael Shamberg, Stein B. Kvae, Finn Gjerdrum","Emmy Rossum, Liam Neeson, Julia Jones",6.2,4,Birle?ik Krall?k
Beyaz Hüzün,,"Dram, Tarihi",Kenan Korkmaz,12/20/2019,54427,602315,Ekol Yap?m,"Kenan Korkmaz, Murat Yatman, Duygu Poyraz",5.1,13,Türkiye
Tolkien,Tolkien,"Dram, Biyografi",Dome Karukoski,07/05/2019,20106,371317," Peter Chernin, Kris Thykier, Jenno Topping","Nicholas Hoult, Lily Collins, Pam Ferris",6.8,3,ABD
Ku?atma 7 Uyuyanlar,,"Dram, Aksiyon",Utku Uçar,10/04/2019,19990,298683,Küsena Film Yap?m,"Ahmet ?afak, Fulden Akyürek, Özcan Varayl?",5.4,4,Türkiye
Greta,Greta,"Gerilim, Dram, Gizem",Neil Jordan,04/19/2019,19939,254030," Lawrence Bender, James Flynn, Sidney Kimmel","Colm Feore, Isabelle Huppert, Chloe Grace Moretz",6,5,"ABD, ?rlanda"
Hayatta Olmaz,,Komedi,Emre Çalt?l?,04/19/2019,19798,187191,Emr Medya,"?nan Ula? Torun, Ceyhun Fersoy, Ceyhun Y?lmaz",5.4,6,Türkiye
Özgür Dünya,,"A?k, Dram, Gençlik","?evki Es, Faruk Aksoy",03/22/2019,19317,298749,"Ay Yap?m, Med Yap?m","Murat Serezli, Rabia Soytürk, Gürbey ?leri",2.3,3,Türkiye
Marid,,Korku,Kemal Özdemir,03/15/2019,18852,278064,Vidd Film,"Onur Bilgin, Hilal Anay, Mustafa Mutlu",5.1,3,Türkiye
Kara Noel,Black Christmas,"Korku, Gerilim, Gizem",Sophia Takal,12/27/2019,21013,460813," Jason Blum, Adam Hendricks, Ben Cosgrove","Cary Elwes, Imogen Poots, Brittany O'Grady",3.5,3,"ABD, Yeni Zelanda"
Yaramazlar Tak?m?: Zaman Yolcular?,Kikoriki: Deja Vu,Animasyon,Denis Chernov,05/31/2019,19989,291231,"Fyodor Bondarchuk , Dmitriy Rudovskiy","?lham Erdo?an, Arda Kavakl?o?lu, Nur Eraslan",5.5,22,Rusya
Papillon,Papillon,Dram,Michael Noer,03/08/2019,18464,352700," Joey McFarland, Roger Corbi, Ram Bergman","Charlie Hunnam, Rami Malek, Tommy Flanagan",7.2,5,"ABD, Çek Cumhuriyeti, ?spanya"
Katil Avc?s?,Hunter Killer,"Gerilim, Aksiyon",Donovan Marsh,03/29/2019,18431,325648,"Gerard Butler, Mark Gill, Alan Siegel","Gerard Butler, Gary Oldman, Common",6.6,2,"ABD, Birle?ik Krall?k, Çin"
Korkunun Sesi,Echoes of Fear,Korku,"Brian Avenet-Bradley, Laurence Avenet-Bradley",11/29/2019,18386,332704,"Laurence Avenet-Bradley, Patrick DiCesare","Trista Robinson, Hannah Race, Paul Chirico",5.1,3,ABD
Destroyer,Destroyer,"Dram, Suç, Aksiyon",Karyn Kusama,04/19/2019,18234,348420," Fred Berger, Phil Hay, Matt Manfredi","Nicole Kidman, Tatiana Maslany, Sebastian Stan",6.2,5,ABD
?skoçya Kraliçesi Mary,Mary Queen of Scots,"Dram, Tarihi, Biyografi",Josie Rourke,02/01/2019,18057,331125," Tim Bevan, Eric Fellner, Debra Hayward","Margot Robbie, Saoirse Ronan, Guy Pearce",6.3,4,Birle?ik Krall?k
Koruyucu,The Bouncer,Aksiyon,Julien Leclercq,07/26/2019,17456,277696,Julien Madon,"Jean-Claude Van Damme, Sami Bouajila, Sveva Alviti",5.9,2,"Belçika, Birle?ik Krall?k"
Ve Sonra Dans Ettik,And Then We Danced,"Dram, Romantik",Levan Akin,11/15/2019,18525,301639," Mathilde Dedye, Ketie Danelia","Levan Gelbakhiani, Bachi Valishvili, Ana Javakishvili",7.6,17,"Fransa, Gürcistan, ?sveç"
Temizlikçi,The Cleaning Lady,"Korku, Gerilim",Jon Knautz,05/10/2019,16965,279443,"Melissa Carter, Shay Mitchell ve Michael Offer ","Alexis Kendra, Stelio Savante, Rachel Alig",5.5,3,ABD
Bir ?ans Daha,Last Christmas,"Romantik-Komedi, Dram",Paul Feig,11/29/2019,16953,419368," Emma Thompson, Paul Feig, Jessie Henderson","Emilia Clarke, Henry Golding, Emma Thompson",6.5,3,"ABD, Birle?ik Krall?k"
"Cin ""A?k Büyüsü""",,Korku,Battal Karsl?o?lu,07/26/2019,16450,237124,Trio Pictures A.?.,"Soner Türker, Derya ?pek, Ali Ertem",1.6,5,Türkiye
Arakç?lar,Shoplifters,"Dram, Suç",Hirokazu Koreeda,01/18/2019,16361,185149," Matsuzaki Kaoru, Yose Akihiko, Taguchi Hijiri","Lily Franky, Sakura Andô, Mayu Matsuoka",7.9,14,Japonya
Suikastç?,The Assassin's Code,"Gerilim, Aksiyon",David A. Armstrong,05/03/2019,15396,259162," David A. Armstrong, Edward Lee Cornett, William K. Baker","Justin Chatwin, Peter Stormare, Mark Thompson",5.1,3,"ABD, Kanada"
K?z,Girl,Dram,Lukas Dhont,01/04/2019,15224,175581,Dirk Impens,"Victor Polster, Arieh Worthalter, Oliver Bodart",7.1,14,"Belçika, Hollanda"
Cin-si Bozuk,,"Korku, Komedi",Bilal Kalyoncu,09/06/2019,14744,233508,2506,"Barbaros Dikmen, Do?a Konako?lu, Nora Tokhosepyan",3.6,3,Türkiye
S?r Tutabilir Misin?,Can You Keep a Secret?,"Komedi, Romantik",Elise Duran,08/16/2019,14463,271870," Brian Keady, Claude Dal Farra, Brice Dal Farra","Alexandra Daddario, Tyler Hoechlin, Kimiko Glenn",5.3,3,ABD
?üphe,Burning,"Dram, Gizem",Chang-dong Lee,01/11/2019,15005,15005, Ok Gwang-hee,"Ah-In Yoo, Steven Yeun, Seong-kun Mun",7.5,17,Güney Kore
Bana Bir A?k ?ark?s? Söyle,,"A?k, Dram",Mehrdad Ghaffarzadeh,03/29/2019,14201,210726,Hüzzam Film,"Yusuf Çim, Afsaneh Pakroo, Ali Burak Ceylan",5.5,3,Türkiye
Hotel Mumbai,Hotel Mumbai,"Dram, Tarihi, Biyografi",Anthony Maras,06/21/2019,14088,279544," Basil Iwanyk, Gary Hamilton, Andrew Ogilvie","Dev Patel, Armie Hammer, Nazanin Boniadi",7.6,5,"ABD, Avustralya"
Hap?uu,,Animasyon,Kenan Öztürk,11/08/2019,14077,231158,Siyah Mart?,Lemi Filozof,0,4,Türkiye
Güzel O?lum,Beautiful Boy,Dram,Felix van Groeningen,03/15/2019,13873,207753," Dede Gardner, Jeremy Kleiner, Brad Pitt","Steve Carell, Timothée Chalamet, Maura Tierney",7.3,10,ABD
Kahraman Prens Sualt? Maceralar?,The Underwater Adventures of Sadko,"Komedi, Animasyon","Maksim Volkov, Vitaly Mukhametzyanov",06/28/2019,13527,194108,CTB Film Company,"Mikhail Efremov, Lubov Novikova, Ekaterina Varnava",3.9,9,Rusya
Çat Kap? A?k,,Romantik-Komedi,Erhan Baytimur,03/22/2019,13496,207612,Filmzade,"Müge Boz, Jess Molho, Nergis Kumbasar",3.2,3,Türkiye
Asla Gözlerini Kaç?rma,Never Look Away,"Gerilim, Dram, Tarihi",Florian Henckel von Donnersmarck,02/08/2019,13410,190242," Quirin Berg , Florian Henckel von Donnersmarck , Jan Mojto ","Tom Schilling, Sebastian Koch, Paula Beer",7.7,13,"Almanya, ?talya"
Küçük ?eyler,,"Komedi, Dram",K?vanç Sezer,11/29/2019,13995,224447,Asteros,"Alican Yücesoy, Ba?ak Özcan, Bülent Emrah Parlak",6.5,9,Türkiye
Hemen Döneriz,,Komedi,Haydar I??k,11/29/2019,13355,158658,Vega Ajans,"Kadir Polatc?, Murat Genç, Burak Sat?bol",5.5,4,Türkiye
Elfland - Yeni Y?l Dedektifleri,Elfland,Animasyon,Logan Spence,12/20/2019,13691,255310,Jennifer Fourteen,"Simon Hill, Kj Schrock, Sarah Taylor",2.9,6,ABD
Mucize U?ur Böce?i,The Ladybug,Animasyon,Ding Shi,02/08/2019,12868,153123,"Barry Brooker , Stan Wertlieb ,","Haylie Duff, Jon Heder, Norm Macdonald",4.6,10,Çin
Meteler,,"Sava?, Aksiyon",Burak Akyol,04/19/2019,12856,198322,Jineps Yap?m,"Gökhan Mumcu, Serhan Çeliker, Temmuz Gürkan Karaca",4.2,4,Türkiye
